,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,
,,,,,,1300,0.208908,0.107551,0.1765734,0.2230584,0.2839094,-0.044079412,-0.03045,0.11420532,-0.10414802,0.06447072,0.5288734
18,0.25,0.2,0.15,0.2,0.2,1000,0.2686358,0.2058778,0.120785,0.2203436,0.1843578,-0.09171344,-0.0193,0.1450774,-0.100636,0.06657514,0.402856
,,,,,,1100,0.267102,0.2063656,0.1251116,0.2161956,0.1852246,-0.07886524,-0.01987,0.1113586,-0.07402928,0.06141068,0.442661
,,,,,,1200,0.2618256,0.2078386,0.1298128,0.2148588,0.1856644,-0.04669874,-0.02899,0.0787792,-0.05646356,0.05337754,0.4398058
,,,,,,1300,0.257061,0.2074938,0.1387394,0.209761,0.1869448,-0.01399992,-0.02849,0.028675104,-0.030260487,0.04407618,0.4436016
19,0.2,0.25,0.15,0.2,0.2,1000,0.2107312,0.257636,0.129065,0.2162432,0.186324,-0.04181596,-0.02059,0.07799186,-0.06699366,0.05140428,0.3814006
,,,,,,1100,0.207011,0.2600064,0.1314092,0.2128566,0.1887168,-0.0170578,-0.0377,0.06605332,-0.04774656,0.03645286,0.3999154
,,,,,,1200,0.205099,0.2607468,0.1358254,0.2100304,0.188299,-0.009241844,-0.04112,0.04393222,-0.03235686,0.03878746,0.430872
,,,,,,1300,0.2026404,0.260311,0.1408296,0.2066014,0.1896176,-0.013398342,-0.03768,0.04707176,-0.03746608,0.04147344,0.4561704
20,0.2,0.2,0.15,0.25,0.2,1000,0.2185254,0.2063132,0.1121142,0.281973,0.1810738,-0.06556178,-0.02239,0.1385248,-0.119513,0.06893818,0.4203484
,,,,,,1100,0.209847,0.2083712,0.1279706,0.267922,0.1858886,-0.05005716,-0.02827,0.1076392,-0.0889066,0.05959072,0.4292018
,,,,,,1200,0.2077656,0.207902,0.1348852,0.26363,0.185817,-0.029626232,-0.02672,0.0608205,-0.05773946,0.05326356,0.3999386
,,,,,,1300,0.2075252,0.2075474,0.132648,0.2650436,0.1872358,-0.029233892,-0.02898,0.06968376,-0.05816252,0.04668894,0.430206
21,0.2,0.2,0.15,0.2,0.25,1000,0.213492,0.2083268,0.1215908,0.2224424,0.2341478,-0.0571717,-0.03244,0.1224684,-0.09535132,0.06249516,0.4195836
,,,,,,1100,0.2083184,0.2091024,0.1313334,0.2129402,0.2383052,-0.026730582,-0.03047,0.0638816,-0.04755178,0.04086886,0.4334814
,,,,,,1200,0.2088816,0.208322,0.1321464,0.215484,0.2351658,-0.034402326,-0.03198,0.07388194,-0.06214514,0.054645,0.4572072
,,,,,,1300,0.2030826,0.2070286,0.1416476,0.209293,0.2389482,-0.015535448,-0.02191,0.03550132,-0.04410098,0.0460421,0.4433336
22,0.3,0.2,0.1,0.2,0.2,1000,0.3084812,0.20701,0.08653474,0.210271,0.1877026,-0.024449182,-0.02675,0.04464354,-0.03483962,0.04139338,0.4067822
,,,,,,1100,0.3048346,0.2079544,0.09076414,0.2069408,0.1895058,-0.01012334,-0.03388,0.03194282,-0.02095746,0.03302064,0.388744
,,,,,,1200,0.3030624,0.2067854,0.0947352,0.2048484,0.1905686,-0.011240764,-0.02573,0.01960986,-0.015134401,0.03249708,0.3967752
,,,,,,1300,0.3037918,0.2086866,0.09195962,0.2056814,0.1898806,-0.0096626,-0.03227,0.02768582,-0.019171455,0.0334196,0.4531324
23,0.2,0.3,0.1,0.2,0.2,1000,0.2068282,0.3086612,0.08718502,0.2093382,0.1879872,-0.020815272,-0.03152,0.04352314,-0.03322574,0.04203446,0.394183
,,,,,,1100,0.2034266,0.31042,0.09041646,0.2075828,0.1881542,-0.013326348,-0.03483,0.03877988,-0.02976056,0.03914166,0.3654612
,,,,,,1200,0.2018248,0.3087482,0.09209486,0.2082604,0.1890716,-0.00746838,-0.0295,0.027412982,-0.0307998,0.04035728,0.4390948
,,,,,,1300,0.2019998,0.3093552,0.09336588,0.205106,0.1901734,-0.010025064,-0.02912,0.024476816,-0.018335688,0.03300726,0.4016388
24,0.2,0.2,0.1,0.3,0.2,1000,0.2078442,0.2055706,0.0823591,0.3209716,0.1832544,-0.03209336,-0.01435,0.0699923,-0.08908782,0.0655401,0.391717
,,,,,,1100,0.2060462,0.2081692,0.08446828,0.315197,0.1861192,-0.02573137,-0.02893,0.06437562,-0.06547324,0.05575482,0.4242512
,,,,,,1200,0.2045284,0.2066646,0.08748134,0.3143578,0.1869676,-0.013444694,-0.02075,0.04556266,-0.05914766,0.0477829,0.4202646
,,,,,,1300,0.2038092,0.2071172,0.08966336,0.3101786,0.1892322,-0.014009906,-0.02688,0.043762,-0.04630826,0.04344088,0.4439566
