,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder,Gamma_sum,MC/MD comp. std,,,,,MC/MD adsorption std,,,,,Disorder std,V_tot,V_free,difference,,,,
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,,Co,Ni,Cr,Fe,Mn
10,0.25,0.15,0.2,0.2,0.2,1000,0.2912826,0.154424,0.1351542,0.241679,0.17746,-0.1767074,-0.01232,0.2799754,-0.179566,0.08861936,0.4507572,0.000000032000,0.002607752,0.001312913,0.003145855,0.00274462,0.001891377,0.019962086,0.006730873,0.015815422,0.013028331,0.013748545,0.005787266,12.116047,0.03877135,0.005218646,0.01232,0.103915577,-0.082654613,-0.023167483
,,,,,,1100,0.2749422,0.1560064,0.160345,0.2259454,0.1827606,-0.0976379,-0.01825,0.1616238,-0.11400492,0.06827186,0.412288,0.000000032000,0.00255498,0.00190907,0.001557269,0.003784788,0.00319743,0.01984031,0.014468072,0.010567773,0.017569945,0.018546256,0.004738813,12.161603,0.03891713,0.020276204,0.01825,0.007304993,-0.0013836,-0.036529895
,,,,,,1200,0.2634854,0.1582842,0.174893,0.2180122,0.1853256,-0.039164466,-0.02762,0.07981448,-0.06361672,0.0505881,0.425224,-0.000000006000,0.00418786,0.002353871,0.00124626,0.001855388,0.002397632,0.028883738,0.008564269,0.020228601,0.0041617,0.011765927,0.017065389,12.212098,-0.007327259,-0.019660702,0.02762,0.041601569,-0.01931774,-0.02278531
,,,,,,1300,0.26541,0.158479,0.1749342,0.2178654,0.1833112,-0.0687258,-0.03132,0.11571966,-0.08482136,0.0691451,0.4993194,-0.000000060000,0.003446756,0.002653689,0.003528998,0.003258252,0.002512325,0.014755989,0.009956117,0.021528606,0.015558908,0.005668288,0.012176035,12.270812,-0.073624872,0.020644953,0.03132,-0.03866189,0.032186272,-0.034861366
11,0.2,0.15,0.25,0.2,0.2,1000,0.2378036,0.1594516,0.177123,0.2461532,0.1794684,-0.1583218,-0.03360,0.314286,-0.2010508,0.07869024,0.4550704,-0.000000040000,0.001211547,0.002077651,0.002265332,0.002567213,0.001492487,0.0071248,0.009950974,0.006037288,0.009461536,0.01698153,0.006987239,12.186481,-0.048745924,-0.020508021,0.03360,0.086038528,-0.072394916,-0.010436508
,,,,,,1100,0.2332556,0.1568148,0.1900044,0.2394354,0.1804898,-0.1300958,-0.02250,0.2367376,-0.1540014,0.06986016,0.4199662,0.000000140000,0.001522827,0.001902553,0.003030999,0.002140721,0.001625358,0.015997348,0.011383239,0.018775893,0.006744794,0.009460535,0.00822564,12.232961,0.171261454,0.04319778,0.02250,-0.046985068,0.024389014,-0.034205384
,,,,,,1200,0.2212856,0.158399,0.2109938,0.226765,0.1825562,-0.08364194,-0.02488,0.152367,-0.10878512,0.06493894,0.4515856,0.000000360000,0.000677441,0.001692538,0.001601888,0.002393387,0.001919593,0.007196496,0.009557194,0.0051976,0.011870743,0.013439691,0.005903898,12.297415,0.44270694,0.004202001,0.02488,0.011598254,-0.003213004,-0.027392902
,,,,,,1300,0.2142434,0.1579994,0.2249858,0.218656,0.184116,-0.05580676,-0.03115,0.10601308,-0.0819501,0.0628934,0.4472184,-0.000000120000,0.001922735,0.000990715,0.002858801,0.003626918,0.003131881,0.010626677,0.010541346,0.0167774,0.023640646,0.021640066,0.016901708,12.346864,-0.148162368,0.024502435,0.03115,-0.055842552,0.047680614,-0.040572055
12,0.2,0.15,0.2,0.25,0.2,1000,0.2258672,0.1562032,0.1474656,0.2909634,0.1795008,-0.1135817,-0.02483,0.2309062,-0.1759164,0.08342632,0.4357374,0.000000220000,0.003359231,0.0018842,0.002914722,0.002571178,0.001671827,0.02281367,0.014158019,0.018831894,0.008237273,0.010741706,0.00611689,12.180865,0.26797903,-0.032343355,0.02483,0.095758438,-0.047215184,-0.027731305
,,,,,,1100,0.223627,0.1562718,0.151738,0.2874806,0.1808824,-0.09648454,-0.01985,0.195208,-0.1519556,0.07308352,0.4240254,-0.000000324200,0.001218924,0.002613891,0.002971217,0.002444819,0.002160036,0.016363313,0.012740781,0.020756299,0.019074716,0.017998901,0.007157138,12.23134,-0.396540043,0.004544993,0.01985,0.005553326,0.014823547,-0.035360176
,,,,,,1200,0.2148044,0.1578386,0.1663694,0.2772264,0.1837608,-0.0592674,-0.03204,0.1451122,-0.11716886,0.0633651,0.4639236,0.000000300000,0.004373671,0.001282215,0.005032439,0.002058366,0.002287148,0.023753513,0.005198103,0.025677238,0.012848369,0.015939594,0.007980972,12.290731,0.36872193,-0.029820855,0.03204,0.038767326,-0.008431909,-0.021258937
,,,,,,1300,0.2089228,0.157511,0.1800246,0.268956,0.1845854,-0.022880094,-0.03054,0.06945262,-0.0665277,0.05049382,0.4422868,0.000000006000,0.003367118,0.002540976,0.003864929,0.004781471,0.003352815,0.017801409,0.014426384,0.0244285,0.027868697,0.017069418,0.012443933,12.345246,0.007407148,-0.006836256,0.03054,-0.021827094,0.033996603,-0.029304771
13,0.2,0.15,0.2,0.2,0.25,1000,0.2210594,0.1573916,0.1568618,0.2307492,0.233938,-0.10158956,-0.02819,0.2087098,-0.1440014,0.06506726,0.452436,0.000000380000,0.003266814,0.002216827,0.005040702,0.003674649,0.001410174,0.012537741,0.009429161,0.016464824,0.007569683,0.005727806,0.010913184,12.201494,0.463656772,-0.072756512,0.02819,0.181577506,-0.12258829,0.001475166
,,,,,,1100,0.2181126,0.1575524,0.1672776,0.2223672,0.2346906,-0.07121312,-0.02316,0.125028,-0.08827912,0.05762952,0.3952742,0.000000368000,0.002736218,0.000661514,0.0035659,0.002164588,0.001122264,0.012820493,0.009113012,0.007705772,0.009128021,0.011095265,0.009236653,12.248252,0.450735674,0.014982564,0.02316,-0.002241653,0.004408664,-0.034557788
,,,,,,1200,0.2115894,0.1576644,0.1734868,0.2205778,0.2366814,-0.042214,-0.02942,0.10150178,-0.07695954,0.04709272,0.4315622,0.000000000000,0.003430546,0.001350739,0.006639116,0.005203529,0.002299135,0.013982463,0.007008574,0.015856781,0.017533527,0.015261553,0.013300445,12.309536,0,-0.02156764,0.02942,0.030144505,-0.012962786,-0.016947331
,,,,,,1300,0.209538,0.1584886,0.1804124,0.2155514,0.2360094,-0.02599976,-0.02818,0.0625238,-0.0560495,0.04770456,0.451018,0.000000020000,0.002902591,0.001572526,0.001759768,0.002765529,0.001569417,0.012363136,0.008862613,0.010500323,0.006789446,0.018392025,0.015522023,12.374188,0.024748376,-0.006528036,0.02818,-0.010392451,0.020440655,-0.024510827
14,0.3,0.1,0.2,0.2,0.2,1000,0.3465046,0.102624,0.1300434,0.241669,0.179159,-0.21062,-0.01204,0.3211022,-0.1843466,0.08590818,0.4711212,0.000000180000,0.000729451,0.001102641,0.001210025,0.002359558,0.002993801,0.004446193,0.008293827,0.014477499,0.005319282,0.011965829,0.005453116,12.091669,0.217650042,0.004471718,0.01204,0.140376839,-0.130871323,-0.007227848
,,,,,,1100,0.3391782,0.1042944,0.1446184,0.2325578,0.1793514,-0.1575036,-0.01571,0.22085,-0.1304084,0.08277048,0.464493,0.000000280000,0.003603811,0.001982957,0.003240676,0.002542746,0.002518026,0.012836849,0.012181699,0.008814831,0.017383764,0.015241998,0.002017006,12.140677,0.339938956,0.015303294,0.01571,0.089661886,-0.081689883,-0.024424847
,,,,,,1200,0.3239828,0.1053954,0.1652934,0.2231026,0.1822258,-0.11570016,-0.02132,0.1763224,-0.1135274,0.07422134,0.4854724,0.000000034000,0.003371406,0.002554719,0.003710279,0.002143507,0.001553322,0.022669383,0.010227384,0.017615487,0.012830848,0.014621442,0.001892197,12.188493,0.041440876,0.009760743,0.02132,0.042338182,-0.035830921,-0.024150741
,,,,,,1300,0.3161366,0.1077098,0.1749218,0.2166966,0.1845352,-0.06360012,-0.02613,0.09301602,-0.05817662,0.0548871,0.4613838,0.000000100000,0.005844501,0.001293832,0.006207772,0.001589416,0.001634464,0.013065855,0.00740942,0.014737915,0.009025556,0.010924723,0.010059899,12.252288,0.12252288,0.027734536,0.02613,-0.035535296,0.018913831,-0.02931338
15,0.2,0.1,0.3,0.2,0.2,1000,0.2535322,0.106192,0.1993692,0.263062,0.1778444,-0.241355,-0.02415,0.4560076,-0.2830126,0.09250752,0.4879088,-0.000000020000,0.001332623,0.001943291,0.002106907,0.001722927,0.001339252,0.005613296,0.008940172,0.009107938,0.010336682,0.007835466,0.011513793,12.242252,-0.024484504,0.006634222,0.02415,0.069433203,-0.075895052,-0.002921964
,,,,,,1100,0.2393054,0.105435,0.2281454,0.2468498,0.1802646,-0.1554942,-0.01697,0.2864878,-0.1896848,0.07566374,0.4276366,0.000000222000,0.002918648,0.001144836,0.00222503,0.003367175,0.001739657,0.014528299,0.010364116,0.004905395,0.014560553,0.01141398,0.016362443,12.289479,0.272826434,0.059069543,0.01697,-0.075932683,0.045862999,-0.036100129
,,,,,,1200,0.2316976,0.1068046,0.2425976,0.2377872,0.181113,-0.1274916,-0.03282,0.2378152,-0.1545576,0.07705836,0.479804,0.000000020000,0.003889479,0.000991421,0.004374218,0.003897456,0.001728147,0.016405201,0.009564949,0.013171123,0.018868432,0.009350629,0.013054473,12.338785,0.02467757,0.025984872,0.03282,-0.028303756,0.01144869,-0.029082802
,,,,,,1300,0.2179138,0.1066768,0.265683,0.2263464,0.1833794,-0.0578205,-0.02044,0.1115189,-0.08811572,0.05485406,0.4669124,-0.000000106000,0.005810099,0.001840752,0.003957989,0.001646676,0.002842152,0.024973528,0.01261094,0.022237825,0.008916247,0.017202441,0.007812018,12.39936,-0.131433216,0.020174707,0.02044,-0.051185087,0.046904099,-0.028010973
16,0.2,0.1,0.2,0.3,0.2,1000,0.2379362,0.1049074,0.1180104,0.3673474,0.1717984,-0.152873,-0.01831,0.3389674,-0.2767122,0.10892924,0.4736298,0.000000240000,0.002862084,0.001710308,0.003343968,0.003174089,0.002619758,0.019899355,0.00664313,0.018861358,0.013845499,0.013179873,0.01592716,12.225979,0.293423496,-0.05754492,0.01831,0.132069556,-0.045034355,-0.028619322
,,,,,,1100,0.230206,0.1029229,0.1372988,0.3539668,0.1756056,-0.1142175,-0.01068,0.2423168,-0.2100366,0.092621,0.4553916,0.000000066800,0.002851481,0.002590946,0.005486069,0.005000115,0.001501473,0.019637529,0.014206329,0.012488079,0.012336514,0.015361841,0.011095524,12.274938,0.081996586,-0.016678867,0.01068,0.043511543,0.014798661,-0.038913441
,,,,,,1200,0.2201372,0.1044924,0.1597936,0.3347784,0.1807984,-0.07515306,-0.01441,0.1562352,-0.1399134,0.0732456,0.4553326,-0.000000150000,0.000456391,0.002095116,0.000711058,0.004682986,0.003620948,0.006474152,0.015516163,0.010974254,0.026715852,0.014347344,0.016634676,12.327637,-0.184914555,-0.007217033,0.01441,0.013777936,0.023784209,-0.034314671
,,,,,,1300,0.2120592,0.1053866,0.1746452,0.3261326,0.181777,-0.04445916,-0.01772,0.09760866,-0.1059628,0.0705303,0.4542532,0.000000070000,0.003667874,0.000982891,0.007483704,0.003788375,0.00213657,0.014383305,0.008111763,0.027672335,0.018123238,0.024510776,0.012803415,12.386952,0.086708664,0.01088963,0.01772,-0.043807754,0.069213547,-0.046593765
17,0.2,0.1,0.2,0.2,0.3,1000,0.218393,0.1081548,0.1589028,0.2288746,0.2856748,-0.07680046,-0.02330,0.1638764,-0.1174428,0.0536698,0.4374728,-0.000000200000,0.002059254,0.000940246,0.00255331,0.002342921,0.002488196,0.010776851,0.00663839,0.012798141,0.007781993,0.008398685,0.005904995,12.2741,-0.245482,-0.072078246,0.02330,0.169400216,-0.110205162,0.003152531
,,,,,,1100,0.2141332,0.1053492,0.1692958,0.2284434,0.2827786,-0.04694064,-0.01846,0.11192566,-0.10905924,0.06253884,0.482075,-0.000000062000,0.001822536,0.001571799,0.00275742,0.002153047,0.002575048,0.011895993,0.010053012,0.016164669,0.013607741,0.012921416,0.01496992,12.327022,-0.076427536,-0.11709651,0.01846,0.246269665,-0.135609698,0.00476658
